mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,k_percent
-0.0015342447145792121,202.03333333333333,-0.41722521403436497,-2.713276281878483,37.0
-0.001535261467198725,202.63333333333333,-0.4184690335538092,-2.764627703530512,37.5
-0.0015359322059249937,202.85,-0.41702364503088524,-2.782602625773607,38.0
-0.001545829915958673,203.6,-0.41965620099683937,-2.783262687021536,38.5
-0.0015788597913988418,205.15,-0.4270520375028761,-2.840476054357492,39.0
-0.001590339838322254,205.3,-0.42781711199526107,-2.8343866987112056,39.5
-0.0015973911821606152,205.86666666666667,-0.42959495765250044,-2.862924984460728,40.0
-0.0015938344828070926,206.91666666666666,-0.43285583623727103,-2.8725480708937123,40.5
-0.0015957168728875128,207.41666666666666,-0.43468962329747585,-2.8840574052290546,41.0
-0.0016021685164062979,208.25,-0.43724921704130554,-2.899659536780975,41.5
-0.0015876127759090245,209.88333333333333,-0.44110899997015607,-2.8910807316200837,42.0
-0.0015858025721557552,209.95,-0.4409942791085284,-2.890693063798188,42.5
-0.0015956573740522305,210.35,-0.44445225597929744,-2.9002008491070583,43.0
-0.001591749248747186,210.73333333333332,-0.4455484087874337,-2.896905078530693,43.5
-0.0015794051620469855,210.78333333333333,-0.444844103132843,-2.884284664061015,44.0
-0.0015641129208932238,211.18333333333334,-0.444705025611915,-2.8858771604964266,44.5
-0.0015641129208932238,211.18333333333334,-0.444705025611915,-2.8858771604964266,45.0
-0.0015231489286990636,211.58333333333334,-0.4423467238179391,-2.8310743446089757,45.5
-0.0015464377971252455,213.61666666666667,-0.44105729631353874,-2.860652381129421,46.0
-0.0014976211316916003,214.16666666666666,-0.43847568714503654,-2.831898580392328,46.5
-0.0014988057182871814,214.6,-0.4403327414143737,-2.8144061324343594,47.0
-0.001506706350858208,215.15,-0.4423156832808654,-2.823660908933895,47.5
-0.0015133960240169377,215.51666666666668,-0.44450770416542223,-2.8142102512100706,48.0
-0.001501436505806356,215.66666666666666,-0.44293825811408666,-2.795220613130817,48.5
-0.0014957730684914015,216.1,-0.4442606050797779,-2.7852943172686184,49.0
-0.0014957730684914015,216.1,-0.4442606050797779,-2.7852943172686184,49.5
-0.0014957730684914015,216.1,-0.4442606050797779,-2.7852943172686184,50.0
