MONTHS WHERE COMBINED_METRIC > 0.005 AND CORPUS_RETURN < 0
============================================================

     month  mean_performance  count  corpus_return  monthly_combined  k_percent
2021-12-01          0.003145     10      -0.009265          0.027452  19.000000
2022-05-01          0.004431     40      -0.062183          0.161258  19.000000
2022-07-01          0.004424     26      -0.003637          0.104628  19.000000
2022-09-01          0.002180     19      -0.006132          0.033815  19.000000
2022-11-01          0.001903    102      -0.018029          0.153255  19.000000
2018-02-01          0.001648    190      -0.023881          0.237081  19.500000
2020-01-01          0.013802     29      -0.009330          0.388667  19.500000
2020-03-01          0.016181     17      -0.008221          0.268271  19.500000
2020-08-01          0.015311     86      -0.043574          1.282311  19.500000
2021-05-01          0.003182     32      -0.021913          0.089010  19.500000
2021-12-01          0.003145     10      -0.009265          0.027452  19.500000
2022-05-01          0.004431     40      -0.062183          0.161258  19.500000
2022-07-01          0.004424     26      -0.003637          0.104628  19.500000
2022-09-01          0.002180     19      -0.006132          0.033815  19.500000
2022-11-01          0.001903    102      -0.018029          0.153255  19.500000
2018-02-01          0.001648    190      -0.023881          0.237081  20.000000
2020-01-01          0.013802     29      -0.009330          0.388667  20.000000
2020-03-01          0.016181     17      -0.008221          0.268271  20.000000
2020-08-01          0.015311     86      -0.043574          1.282311  20.000000
2021-05-01          0.003182     32      -0.021913          0.089010  20.000000
2021-12-01          0.003145     10      -0.009265          0.027452  20.000000
2022-05-01          0.004431     40      -0.062183          0.161258  20.000000
2022-07-01          0.004424     26      -0.003637          0.104628  20.000000
2022-09-01          0.002180     19      -0.006132          0.033815  20.000000
2022-11-01          0.001903    102      -0.018029          0.153255  20.000000
2018-02-01          0.001648    190      -0.023881          0.237081  20.500000
2020-01-01          0.013802     29      -0.009330          0.388667  20.500000
2020-03-01          0.016181     17      -0.008221          0.268271  20.500000
2020-07-01          0.000661    133      -0.077589          0.034703  20.500000
2020-08-01          0.015311     86      -0.043574          1.282311  20.500000
2021-05-01          0.003182     32      -0.021913          0.089010  20.500000
2021-12-01          0.003145     10      -0.009265          0.027452  20.500000
2022-07-01          0.004424     26      -0.003637          0.104628  20.500000
2022-09-01          0.002180     19      -0.006132          0.033815  20.500000
2022-11-01          0.001903    102      -0.018029          0.153255  20.500000
2018-02-01          0.001648    190      -0.023881          0.237081  21.000000
2020-01-01          0.013802     29      -0.009330          0.388667  21.000000
2020-03-01          0.016181     17      -0.008221          0.268271  21.000000
2020-07-01          0.000661    133      -0.077589          0.034703  21.000000
2020-08-01          0.015311     86      -0.043574          1.282311  21.000000
2021-05-01          0.003182     32      -0.021913          0.089010  21.000000
2021-12-01          0.004751     12      -0.005484          0.052212  21.000000
2022-07-01          0.004424     26      -0.003637          0.104628  21.000000
2022-09-01          0.002180     19      -0.006132          0.033815  21.000000
2022-11-01          0.001903    102      -0.018029          0.153255  21.000000
2018-02-01          0.000913    206      -0.039072          0.105580  21.500000
2020-01-01          0.013802     29      -0.009330          0.388667  21.500000
2020-03-01          0.016181     17      -0.008221          0.268271  21.500000
2020-07-01          0.000661    133      -0.077589          0.034703  21.500000
2020-08-01          0.015311     86      -0.043574          1.282311  21.500000
2021-05-01          0.003182     32      -0.021913          0.089010  21.500000
2021-12-01          0.004751     12      -0.005484          0.052212  21.500000
2022-07-01          0.004424     26      -0.003637          0.104628  21.500000
2022-11-01          0.001903    102      -0.018029          0.153255  21.500000
2018-02-01          0.000913    206      -0.039072          0.105580  22.000000
2020-01-01          0.013802     29      -0.009330          0.388667  22.000000
2020-03-01          0.016181     17      -0.008221          0.268271  22.000000
2020-07-01          0.000661    133      -0.077589          0.034703  22.000000
2020-08-01          0.015311     86      -0.043574          1.282311  22.000000
2021-05-01          0.003182     32      -0.021913          0.089010  22.000000
2021-12-01          0.004751     12      -0.005484          0.052212  22.000000
2022-11-01          0.001903    102      -0.018029          0.153255  22.000000
2018-02-01          0.000913    206      -0.039072          0.105580  22.500000
2020-01-01          0.010209     30      -0.008662          0.294262  22.500000
2020-03-01          0.016181     17      -0.008221          0.268271  22.500000
2020-07-01          0.000661    133      -0.077589          0.034703  22.500000
2020-08-01          0.015311     86      -0.043574          1.282311  22.500000
2021-05-01          0.003182     32      -0.021913          0.089010  22.500000
2021-12-01          0.004751     12      -0.005484          0.052212  22.500000
2022-11-01          0.001903    102      -0.018029          0.153255  22.500000
2018-02-01          0.000913    206      -0.039072          0.105580  23.000000
2020-01-01          0.010209     30      -0.008662          0.294262  23.000000
2020-03-01          0.016181     17      -0.008221          0.268271  23.000000
2020-07-01          0.000661    133      -0.077589          0.034703  23.000000
2020-08-01          0.015311     86      -0.043574          1.282311  23.000000
2021-05-01          0.003182     32      -0.021913          0.089010  23.000000
2021-12-01          0.004751     12      -0.005484          0.052212  23.000000
2022-11-01          0.001903    102      -0.018029          0.153255  23.000000
2018-02-01          0.000913    206      -0.039072          0.105580  23.500000
2020-01-01          0.010209     30      -0.008662          0.294262  23.500000
2020-03-01          0.016181     17      -0.008221          0.268271  23.500000
2020-07-01          0.000661    133      -0.077589          0.034703  23.500000
2020-08-01          0.015311     86      -0.043574          1.282311  23.500000
2021-05-01          0.003182     32      -0.021913          0.089010  23.500000
2021-12-01          0.004751     12      -0.005484          0.052212  23.500000
2022-11-01          0.001903    102      -0.018029          0.153255  23.500000
2018-02-01          0.000913    206      -0.039072          0.105580  24.000000
2018-03-01          0.001862     27      -0.003127          0.039469  24.000000
2020-01-01          0.010209     30      -0.008662          0.294262  24.000000
2020-03-01          0.016181     17      -0.008221          0.268271  24.000000
2020-07-01          0.000661    133      -0.077589          0.034703  24.000000
2020-08-01          0.015311     86      -0.043574          1.282311  24.000000
2021-01-01          0.002905     54      -0.024990          0.135266  24.000000
2021-05-01          0.003182     32      -0.021913          0.089010  24.000000
2021-12-01          0.004751     12      -0.005484          0.052212  24.000000
2018-02-01          0.000913    206      -0.039072          0.105580  24.500000
2018-03-01          0.001862     27      -0.003127          0.039469  24.500000
2020-01-01          0.010209     30      -0.008662          0.294262  24.500000
2020-03-01          0.016181     17      -0.008221          0.268271  24.500000
2020-07-01          0.000661    133      -0.077589          0.034703  24.500000
2020-08-01          0.011979     87      -0.045115          1.007357  24.500000
2021-01-01          0.002905     54      -0.024990          0.135266  24.500000
2021-05-01          0.003182     32      -0.021913          0.089010  24.500000
2021-12-01          0.004751     12      -0.005484          0.052212  24.500000
2018-02-01          0.000913    206      -0.039072          0.105580  25.000000
2018-03-01          0.001862     27      -0.003127          0.039469  25.000000
2020-01-01          0.010209     30      -0.008662          0.294262  25.000000
2020-03-01          0.016181     17      -0.008221          0.268271  25.000000
2020-07-01          0.000661    133      -0.077589          0.034703  25.000000
2020-08-01          0.011979     87      -0.045115          1.007357  25.000000
2021-01-01          0.002905     54      -0.024990          0.135266  25.000000
2021-05-01          0.003182     32      -0.021913          0.089010  25.000000
2021-12-01          0.004751     12      -0.005484          0.052212  25.000000
