mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,min_month,max_monthly_corpus_return,max_month,median_monthly_corpus_return,mode_monthly_corpus_return,avg_min_available_cash,k_percent
-0.0006028120073867587,106.45,-0.1637615637934879,0.0036021000565749886,0.046773187967613,-0.10218217504481142,2022-05-01,0.13977014166814716,2020-02-01,0.0028707208969978026,-0.10218217504481142,0.002139015664627547,6.0
-0.0005282130841402756,106.91666666666667,-0.1557711911871133,0.0036714505975422086,0.04670411710577265,-0.10218217504481142,2022-05-01,0.13977014166814716,2020-02-01,0.0028707208969978026,-0.10218217504481142,0.0020887115798352944,6.5
-0.00031452810365208963,111.91666666666667,-0.17719477601280326,0.003935067659535724,0.047377560822021055,-0.10218217504481142,2022-05-01,0.13977014166814716,2020-02-01,0.0031059152841794724,-0.10218217504481142,0.002105833920470464,7.0
-0.0006216645214869997,113.21666666666667,-0.19955852204889704,0.0033449637637177304,0.04731509786676352,-0.10218217504481142,2022-05-01,0.13977014166814716,2020-02-01,0.0031059152841794724,-0.10218217504481142,0.002451555887192932,7.5
-0.00042318391815041463,115.93333333333334,-0.17581135551255303,0.003980781954726166,0.045906165442782414,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.003455289248790905,-0.10218217504481142,0.002633053745943715,8.0
-2.1545720377948775e-06,118.56666666666666,-0.16003347692741113,0.002716743340337546,0.04592848822063483,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.003455289248790905,-0.10218217504481142,0.0026915544825174037,8.5
-5.0849096162634354e-05,120.41666666666667,-0.11990279467246703,0.001900414684526621,0.04523721698421869,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.0032082701317250883,-0.10218217504481142,0.002684116571408209,9.0
-4.622258645276052e-05,121.93333333333334,-0.12555436324533872,0.0017934455850555316,0.04528505224319428,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.003677969755592758,-0.10218217504481142,0.002684117223326556,9.5
0.00014346109915220546,123.96666666666667,-0.07800716498724575,0.0035527764854963624,0.048659502653170615,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.0018483206939571284,-0.10218217504481142,0.002813239179139485,10.0
-5.719817116742094e-05,125.61666666666666,-0.08055206546204058,0.003949490143211567,0.04836208586128287,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.0018483206939571284,-0.10218217504481142,0.0026653592816609163,10.5
-0.0002452095637199937,126.5,-0.08489821075078521,0.003567131366036197,0.048511643272697975,-0.10218217504481142,2022-05-01,0.14189592984924415,2020-02-01,0.0018483206939571284,-0.10218217504481142,0.0026653592816609163,11.0
-0.0003208757340097151,134.36666666666667,-0.10713221354127676,0.003042218729147672,0.04759873973652273,-0.07279318429934656,2022-01-01,0.14189592984924415,2020-02-01,0.0018326477742965919,-0.07279318429934656,0.0024324644829816335,11.5
-0.0005044356257690025,138.38333333333333,-0.11477691236364533,0.0023283046671147153,0.045766929360991714,-0.07279318429934656,2022-01-01,0.14189592984924415,2020-02-01,0.002088837937598398,-0.07279318429934656,0.0021513050695215626,12.0
-0.0006239217772364439,140.16666666666666,-0.11790591531778741,0.004031473248916817,0.04553212987645915,-0.07279318429934656,2022-01-01,0.14189592984924415,2020-02-01,0.003477603078842151,-0.07279318429934656,0.00193004861065991,12.5
-0.00013353622498682435,141.63333333333333,0.04275440713044308,0.004877028191033707,0.046845847343153835,-0.07279318429934656,2022-01-01,0.14187460693755716,2020-02-01,0.003477603078842151,-0.07279318429934656,0.0017823434719168585,13.0
-0.00010814117503502865,141.65,0.045346459275102446,0.004877028191033707,0.046845847343153835,-0.07279318429934656,2022-01-01,0.14187460693755716,2020-02-01,0.003477603078842151,-0.07279318429934656,0.0017823434719168585,13.5
-0.00014391594019991146,146.65,0.03290181926023305,0.0028423809373605232,0.04803585899353718,-0.08057766338627936,2022-05-01,0.14187460693755716,2020-02-01,0.0018326477742965919,-0.08057766338627936,0.0017600984642999846,14.0
