date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2021-10-04,aarti industries limited,AARTIIND,Axis Direct,Healthcare,5.742399765016887,0.0790776699029126,2021
2021-11-02,aarti industries limited,AARTIIND,Axis Direct,Healthcare,12.711333750782714,-0.0033264033264033,2021
2021-12-06,aarti industries limited,AARTIIND,Axis Direct,Healthcare,12.858561053346564,0.0510948905109489,2021
2022-08-12,aarti industries limited,AARTIIND,Axis Direct,Healthcare,6.922465937557278,-0.0441676792223572,2022
2023-05-10,aarti industries limited,AARTIIND,Axis Direct,Healthcare,8.42779694430754,-0.0092592592592593,2023
2023-08-10,aarti industries limited,AARTIIND,Axis Direct,Healthcare,1.919115255339916,-0.028114186851211,2023
2024-02-12,aarti industries limited,AARTIIND,Axis Direct,Healthcare,9.034267912772584,0.0208148148148147,2024
2024-05-14,aarti industries limited,AARTIIND,Axis Direct,Healthcare,17.917304747320063,-0.0304615384615383,2024
2016-10-04,aarti industries limited,AARTIIND,BP Wealth,Healthcare,27.6377491207503,0.0627048682772853,2016
2017-02-08,aarti industries limited,AARTIIND,BP Wealth,Healthcare,10.253164556962028,-0.0192047465389819,2017
2017-05-23,aarti industries limited,AARTIIND,BP Wealth,Healthcare,10.9283196239718,0.0505309953074834,2017
2017-08-17,aarti industries limited,AARTIIND,BP Wealth,Healthcare,9.662398137369037,-0.0268341421638596,2017
2018-05-15,aarti industries limited,AARTIIND,BP Wealth,Healthcare,15.923076923076923,-0.0196197281949849,2018
2019-02-05,aarti industries limited,AARTIIND,BP Wealth,Healthcare,11.270125223613595,-0.1122386748957138,2019
2019-05-23,aarti industries limited,AARTIIND,BP Wealth,Healthcare,8.696908407974574,0.0663030793779324,2019
2019-08-19,aarti industries limited,AARTIIND,BP Wealth,Healthcare,11.284517629072848,-0.0429460317460318,2019
2020-01-14,aarti industries limited,AARTIIND,BP Wealth,Healthcare,1.80547466511357,0.0125292740046838,2020
2020-07-15,aarti industries limited,AARTIIND,BP Wealth,Healthcare,-4.355438826876774,-0.0106576211839369,2020
2020-10-16,aarti industries limited,AARTIIND,BP Wealth,Healthcare,-10.299173808179814,-0.00534,2020
2017-03-29,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,18.913919534914445,0.0320012995451591,2017
2017-11-15,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,14.946362069923858,0.0112503429982621,2017
2018-11-28,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,15.135135135135137,-0.0121186910704381,2018
2019-08-26,aarti industries limited,AARTIIND,CD Equisearch,Healthcare,15.50071317212327,0.1412110616656071,2019
