### iter_0_a_0.0_b_0.0 ###
                  Sector                              author  mean_performance  count      month
141            Utilities                     HDFC Securities         -0.001763      1 2016-03-01
142       Consumer Goods                               Karvy         -0.028938      2 2016-04-01
143               Energy                 Reliance Securities          0.019173      4 2016-04-01
144              Finance                       Motilal Oswal         -0.000480     13 2016-04-01
145           Healthcare                     Phillip Capital          0.037520      2 2016-04-01
146           Technology                     HDFC Securities          0.005008      2 2016-04-01
147       Consumer Goods                     HDFC Securities          0.011994      2 2016-05-01
148       Consumer Goods                     Phillip Capital         -0.038062      6 2016-05-01
149               Energy                        Ajcon Global          0.006545      1 2016-05-01
150              Finance                       Motilal Oswal          0.012464     11 2016-05-01
151           Healthcare            BOB Capital Markets Ltd.         -0.001889      3 2016-05-01
152           Healthcare                 Chola Wealth Direct         -0.032978      2 2016-05-01
153           Healthcare                     Phillip Capital         -0.019180     15 2016-05-01
154           Healthcare                 Reliance Securities          0.063726      3 2016-05-01
155           Technology                       Angel Broking          0.001854      2 2016-05-01
156           Technology                     HDFC Securities          0.006554      2 2016-05-01
157           Technology                 Reliance Securities          0.005235      2 2016-05-01
158            Utilities                     Phillip Capital          0.007820      1 2016-05-01
159       Consumer Goods                     HDFC Securities         -0.023872      1 2016-06-01
160       Consumer Goods                       Motilal Oswal         -0.030992      1 2016-06-01
161              Finance                       Motilal Oswal          0.065649      4 2016-06-01
162           Healthcare                 Chola Wealth Direct         -0.010015      1 2016-06-01
163           Healthcare            ICICI Securities Limited         -0.011285      6 2016-06-01
164           Healthcare                     Phillip Capital          0.009768      3 2016-06-01
165        Manufacturing                        Ajcon Global          0.002435      1 2016-06-01
166        Manufacturing                     HDFC Securities          0.070245      7 2016-06-01
167        Manufacturing                       Motilal Oswal          0.060869      4 2016-06-01
168           Technology                       Angel Broking          0.022302      1 2016-06-01
169           Technology                     HDFC Securities          0.007658      2 2016-06-01
170           Technology                 Reliance Securities          0.000000      1 2016-06-01
171       Consumer Goods                       Motilal Oswal          0.017962      4 2016-07-01
172       Consumer Goods                     Phillip Capital          0.001708      3 2016-07-01
173               Energy                     HDFC Securities          0.009675      4 2016-07-01
174              Finance                       Motilal Oswal          0.012102     21 2016-07-01
175           Healthcare                     Phillip Capital          0.018721      1 2016-07-01
176        Manufacturing                         AUM Capital          0.103476      1 2016-07-01
177        Manufacturing                     HDFC Securities          0.020319      5 2016-07-01
178        Manufacturing                       Motilal Oswal         -0.000669     11 2016-07-01
179           Technology                     HDFC Securities          0.008001      7 2016-07-01
180           Technology                 Reliance Securities          0.017672      2 2016-07-01
181           Technology                    Systematix Group         -0.020710      1 2016-07-01
182   Telecommunications                     HDFC Securities          0.056086      1 2016-07-01
183   Telecommunications                 Reliance Securities          0.031579      1 2016-07-01
184       Transportation                       Motilal Oswal          0.017435      1 2016-07-01
185            Utilities            ICICI Securities Limited          0.061540      1 2016-07-01
186          Agriculture                 Chola Wealth Direct         -0.013275      1 2016-08-01
187       Consumer Goods                     HDFC Securities          0.009825      2 2016-08-01
188       Consumer Goods                               Karvy          0.014989      1 2016-08-01
189       Consumer Goods                     Phillip Capital          0.040181      2 2016-08-01
190               Energy                        Ajcon Global         -0.018248      1 2016-08-01
191               Energy                     HDFC Securities          0.029932      1 2016-08-01
192              Finance                       Motilal Oswal          0.007860      6 2016-08-01
193           Healthcare                 Chola Wealth Direct          0.001202      4 2016-08-01
194           Healthcare            ICICI Securities Limited          0.023699     18 2016-08-01
195           Healthcare                     Phillip Capital         -0.002392     14 2016-08-01
196           Healthcare                 Reliance Securities          0.006771      8 2016-08-01
197        Manufacturing            BOB Capital Markets Ltd.         -0.002924      2 2016-08-01
198        Manufacturing                     HDFC Securities          0.002104     14 2016-08-01
199        Manufacturing                        IDBI Capital          0.008194      5 2016-08-01
200        Manufacturing                       Motilal Oswal          0.001624     12 2016-08-01
201           Technology                     HDFC Securities          0.034748     10 2016-08-01
202           Technology                      LKP Securities          0.113907      1 2016-08-01
203           Technology                 Reliance Securities          0.039560      3 2016-08-01
204           Technology                            Religare          0.015638      1 2016-08-01
205       Transportation                     HDFC Securities         -0.041575      1 2016-08-01
206              Unknown                 Reliance Securities          0.014756      1 2016-08-01
207            Utilities            ICICI Securities Limited         -0.020859      1 2016-08-01
208            Utilities                     Phillip Capital         -0.023051      1 2016-08-01
209       Consumer Goods                     HDFC Securities         -0.008653      4 2016-09-01
210       Consumer Goods                       Motilal Oswal         -0.037415      2 2016-09-01
211       Consumer Goods                     Phillip Capital          0.011502      3 2016-09-01
212               Energy                     HDFC Securities          0.010887      4 2016-09-01
213              Finance                     HDFC Securities          0.016892      2 2016-09-01
214              Finance            ICICI Securities Limited         -0.019838      5 2016-09-01
215              Finance                       Motilal Oswal          0.231078      8 2016-09-01
216           Healthcare                     HDFC Securities          0.097914      2 2016-09-01
217           Healthcare            ICICI Securities Limited         -0.016247      2 2016-09-01
218           Healthcare                       Motilal Oswal          0.052216      3 2016-09-01
219           Healthcare                     Phillip Capital          0.103115      1 2016-09-01
220        Manufacturing                        Ajcon Global          0.050388      1 2016-09-01
221        Manufacturing                      Dynamic Levels         -0.023542      2 2016-09-01
222        Manufacturing                     HDFC Securities         -0.000420      6 2016-09-01
223        Manufacturing                        IDBI Capital          0.011246      1 2016-09-01
224        Manufacturing                       Motilal Oswal          0.009567      7 2016-09-01
225           Technology                       Angel Broking          0.040833      1 2016-09-01
226           Technology                     HDFC Securities         -0.036664      2 2016-09-01
227           Technology                            Religare          0.025492      2 2016-09-01
228       Consumer Goods                     HDFC Securities          0.045090      1 2016-10-01
229       Consumer Goods                       Motilal Oswal          0.076812      1 2016-10-01
230              Finance                     HDFC Securities         -0.018313     11 2016-10-01
231              Finance                       Motilal Oswal          0.007719      3 2016-10-01
232           Healthcare                      Dynamic Levels          0.005537      1 2016-10-01
233           Healthcare                     HDFC Securities          0.004693      4 2016-10-01
234           Healthcare            ICICI Securities Limited         -0.020709      7 2016-10-01
235           Healthcare                 Reliance Securities         -0.011723      3 2016-10-01
236        Manufacturing                      Dynamic Levels         -0.014137      2 2016-10-01
237        Manufacturing                     HDFC Securities          0.001219      7 2016-10-01
238        Manufacturing                        IDBI Capital         -0.015463      1 2016-10-01
239           Technology                     HDFC Securities         -0.018005      3 2016-10-01
240           Technology                 Reliance Securities         -0.007618      2 2016-10-01
241              Unknown            ICICI Securities Limited          0.001414      2 2016-10-01
242            Utilities                     HDFC Securities         -0.006331      1 2016-10-01
243               Energy                     HDFC Securities         -0.016339      5 2016-11-01
244              Finance                       Angel Broking         -0.071128      4 2016-11-01
245              Finance                     HDFC Securities         -0.020060     13 2016-11-01
246           Healthcare                     HDFC Securities          0.008782      6 2016-11-01
247           Healthcare            ICICI Securities Limited         -0.011340     14 2016-11-01
