### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
122               Energy                     HDFC Securities         -0.034240      3 2015-06-01
123               Energy                     Phillip Capital          0.005316      2 2015-06-01
124              Finance                     HDFC Securities         -0.006784      5 2015-06-01
125              Finance                               Karvy          0.000766      2 2015-06-01
126              Finance                     Phillip Capital          0.028869      2 2015-06-01
127           Healthcare                 Chola Wealth Direct          0.019662      1 2015-06-01
128           Healthcare                     HDFC Securities         -0.009816      3 2015-06-01
129           Healthcare                               Karvy          0.066510      1 2015-06-01
130           Healthcare                     Phillip Capital          0.004056      3 2015-06-01
131           Healthcare                 Reliance Securities          0.016712      1 2015-06-01
132        Manufacturing                 Chola Wealth Direct         -0.015262      2 2015-06-01
133        Manufacturing                     HDFC Securities         -0.013373      2 2015-06-01
134        Manufacturing                     Phillip Capital         -0.027210      2 2015-06-01
135           Technology            BOB Capital Markets Ltd.         -0.058810      1 2015-06-01
136           Technology                               Karvy          0.016759      2 2015-06-01
137           Technology                     Phillip Capital         -0.003283      1 2015-06-01
138       Consumer Goods                 Chola Wealth Direct         -0.010145      1 2015-07-01
139       Consumer Goods                     HDFC Securities          0.004765      2 2015-07-01
140       Consumer Goods                               Karvy          0.007195      2 2015-07-01
141       Consumer Goods                     Phillip Capital          0.008650      4 2015-07-01
142               Energy                     Phillip Capital         -0.016747      5 2015-07-01
143              Finance                 Chola Wealth Direct          0.008227     11 2015-07-01
144              Finance                     HDFC Securities          0.018556     10 2015-07-01
145              Finance                               Karvy         -0.002248     10 2015-07-01
146              Finance                     Phillip Capital          0.009431     20 2015-07-01
147           Healthcare                 Chola Wealth Direct         -0.014000      1 2015-07-01
148           Healthcare                     HDFC Securities          0.015957      1 2015-07-01
149           Healthcare                               Karvy         -0.036564      2 2015-07-01
150           Healthcare                     Phillip Capital         -0.002450      5 2015-07-01
151           Healthcare                 Reliance Securities          0.029038      1 2015-07-01
152        Manufacturing                     Ashika Research          0.014042      1 2015-07-01
153        Manufacturing            BOB Capital Markets Ltd.         -0.043254      2 2015-07-01
154        Manufacturing                 Chola Wealth Direct          0.005285      5 2015-07-01
155        Manufacturing                     HDFC Securities         -0.014683      3 2015-07-01
