### iter_0_k_1.0 ###
        month  final_corpus_value  total_return  num_trades  avg_daily_return  mean_performance
45 2021-11-01            0.882085     -0.117915          36         -0.006551         -0.006121
46 2021-12-01            0.925914     -0.074086           7         -0.010584         -0.012983
47 2022-01-01            1.057787      0.057787          12          0.006421          0.011582
48 2022-02-01            0.965181     -0.034819          23         -0.002048          0.000649
49 2022-03-01            0.960068     -0.039932           4         -0.009983         -0.011782
50 2022-04-01            0.998325     -0.001675          10         -0.000209          0.000321
51 2022-05-01            0.910862     -0.089138          28         -0.004691         -0.002091
52 2022-06-01            0.954338     -0.045662          14         -0.005074         -0.006459
53 2022-07-01            0.999151     -0.000849           1         -0.000849         -0.000562
54 2022-08-01            1.035936      0.035936          13          0.005134          0.006367
55 2022-09-01            0.987580     -0.012420           2         -0.012420         -0.014524
56 2022-10-01            0.982584     -0.017416          26         -0.002177         -0.003685
57 2022-11-01            1.031891      0.031891          17          0.003986          0.004468
58 2022-12-01            1.098890      0.098890           7          0.016482          0.019131

### iter_7_k_4.5 ###
        month  final_corpus_value  total_return  num_trades  avg_daily_return  mean_performance
0  2018-01-01            0.915479     -0.084521          49         -0.005283         -0.002475
1  2018-02-01            0.956022     -0.043978          58         -0.002932         -0.001921
2  2018-03-01            0.969000     -0.031000           6         -0.006200         -0.006493
3  2018-04-01            1.037989      0.037989          29          0.003166          0.007671
4  2018-05-01            0.953517     -0.046483          86         -0.001722         -0.002311
5  2018-06-01            0.970000     -0.030000           5         -0.006000         -0.007002
6  2018-07-01            1.011370      0.011370          23          0.000948          0.001246
7  2018-08-01            0.997733     -0.002267          70         -0.000113          0.001080
8  2018-09-01            0.968361     -0.031639           8         -0.006328         -0.009423
9  2018-10-01            0.948858     -0.051142           7         -0.008524         -0.011928
10 2018-11-01            1.000461      0.000461           1          0.000461          0.001076
11 2018-12-01            1.057309      0.057309           1          0.057309          0.072137
12 2019-02-01            1.025903      0.025903           3          0.012952          0.010245
13 2019-03-01            0.998124     -0.001876           2         -0.000938         -0.000670
14 2019-04-01            0.990607     -0.009393           7         -0.001565         -0.002465
15 2019-05-01            1.065734      0.065734          14          0.010956          0.021808
16 2019-06-01            1.070615      0.070615           4          0.023538          0.021378
17 2019-07-01            0.934594     -0.065406          16         -0.005450         -0.007805
18 2019-08-01            0.944492     -0.055508           3         -0.027754         -0.026957
19 2019-09-01            1.108891      0.108891           7          0.018148          0.021084
20 2019-10-01            0.993052     -0.006948          26         -0.000632         -0.004947
21 2019-11-01            1.011336      0.011336          52          0.000597         -0.000540
22 2019-12-01            0.993310     -0.006690          13         -0.000836          0.000231
23 2020-01-01            0.958129     -0.041871          27         -0.003221         -0.002301
24 2020-02-01            0.962796     -0.037204          64         -0.002325         -0.001664
25 2020-03-01            0.918026     -0.081974          12         -0.010247         -0.013946
26 2020-04-01            0.979081     -0.020919           4         -0.005230         -0.005952
